"Name","UAE Routing Code Agent ID","Bank Identifier Code","Country"
"ABU DHABI ISLAMIC BK","405010101","","United Arab Emirates"
"ABUDHABI COMML.BANK","600310101","","United Arab Emirates"
"AJMAN BK","805740101","","United Arab Emirates"
"AL AHLI BANK OF KUWAIT","200420101","","United Arab Emirates"
"AL DINAR EXCHANGE COMPANY","130910101","","United Arab Emirates"
"ALFA EXCHANGE","231110101","","United Arab Emirates"
"ARAB AFRICAN INT’L","500710102","","United Arab Emirates"
"ARAB BANK","000910101","","United Arab Emirates"
"ARAB EMIRAES INVESTMENT BK","004820101","","United Arab Emirates"
"ARBIFT","100810101","","United Arab Emirates"
"ARY International Exchange- Dubai","523710101","","United Arab Emirates"
"Abdul Latif Exchange - LLC. - Dubai","220110101","","United Arab Emirates"
"Ahmed Al Amery Exchange Est-Abu Dhabi","120210101","","United Arab Emirates"
"Ahmed Al Hussain Exchange Est. - Dubai","020310101","","United Arab Emirates"
"Ain Al Faydah Exchange-Al Ain","920410101","","United Arab Emirates"
"Al Ahalia Money Exchange BureauAbu Dhabi","820510101","","United Arab Emirates"
"Al Ansari Exchange Services -Al Ain","620710101","","United Arab Emirates"
"Al Ansari Exchange-Abu Dhabi","720610101","","United Arab Emirates"
"Al Azhar Exchange- Dubai","520810101","","United Arab Emirates"
"Al Bader Exchange-Abu Dhabi","420910101","","United Arab Emirates"
"Al Balooch Money Exchange- Al Ain","621010101","","United Arab Emirates"
"Al Dahab Exchange, Dubai","521110101","","United Arab Emirates"
"Al Darmaki Exchange Est. - Dubai","421210101","","United Arab Emirates"
"Al Dhahery Exchange","330710101","","United Arab Emirates"
"Al Dhahery Money Exchange- Al Ain","321310101","","United Arab Emirates"
"Al Falah Exchange Company-Abu Dhabi","221410101","","United Arab Emirates"
"Al Fardan Exchange-Abu Dhabi","121510101","","United Arab Emirates"
"Al Fuad Exchange - Dubai","021610101","","United Arab Emirates"
"Al Gergawi Exchange - LLC. - Dubai","921710101","","United Arab Emirates"
"Al Ghurair Exchange- Dubai","821810101","","United Arab Emirates"
"Al Ghurair International ExchangeDubai","721910101","","United Arab Emirates"
"Al HILAL BK","105310101","","United Arab Emirates"
"Al Hadha Exchange LLC. - Dubai","922010101","","United Arab Emirates"
"Al Hamed Exchange - Sharjah","822110101","","United Arab Emirates"
"Al Hamriyah Exchange- Dubai","722210101","","United Arab Emirates"
"Al Jarwan Money Exchange-Sharjah","622310101","","United Arab Emirates"
"Al Marya Community Bank","9710001","",""
"Al Masood Exchange-Abu Dhabi","522410101","","United Arab Emirates"
"Al Mazroui Exchange Est-Abu Dhabi","422510101","","United Arab Emirates"
"Al Modawallah Exchange- Dubai","322610101","","United arab emirates"
